scraper,2021-11-15,2021-11-12,2021-11-10,2021-11-05,2021-11-01,2021-10-30,2021-10-28,2021-10-26,2021-10-25,2021-10-14
apple,0,0,0,0,0,0,0,0,0,
chegg,0,0,1,,,,,,,
cisco,0,0,0,0,0,0,,,,
glassdoor,0,,,,,,,,,
nsf,0,0,0,0,0,0,0,0,0,0
simplyhired,1,1,0,0,0,0,0,0,1,1
stackoverflow,0,0,,,,,,,,
ziprecruiter,0,0,0,0,0,0,0,,,
